127.0.0.1 - - [25/Jul/2016:05:18:45 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:52 -0500] "GET /EcommerceWeb/index.jsp HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:53 -0500] "GET /EcommerceWeb/images/watch1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:53 -0500] "GET /EcommerceWeb/images/watch5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:53 -0500] "GET /EcommerceWeb/images/watch6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:53 -0500] "GET /EcommerceWeb/images/watch4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:53 -0500] "GET /EcommerceWeb/images/militaryq.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:53 -0500] "GET /EcommerceWeb/images/na.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:18:53 -0500] "GET /EcommerceWeb/images/.jpg HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:36 -0500] "GET /EcommerceWeb/index.jsp HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:37 -0500] "GET /EcommerceWeb/images/watch1.jpg HTTP/1.1" 200 68280
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:37 -0500] "GET /EcommerceWeb/images/watch5.jpg HTTP/1.1" 200 293545
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:37 -0500] "GET /EcommerceWeb/images/na.jpg HTTP/1.1" 200 58599
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:37 -0500] "GET /EcommerceWeb/images/militaryq.jpg HTTP/1.1" 200 129010
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:37 -0500] "GET /EcommerceWeb/images/watch6.jpg HTTP/1.1" 200 84779
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:37 -0500] "GET /EcommerceWeb/images/watch4.jpg HTTP/1.1" 200 184248
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:26:37 -0500] "GET /EcommerceWeb/images/.jpg HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [25/Jul/2016:05:27:18 -0500] "GET /EcommerceWeb/na.jpg HTTP/1.1" 404 1032
